Domain,Method,Setting,Preprocessing,Mean,Std,Result
1,Edit Distance,UI,(b) Standardisation,0.869,0.13816294727603345,0.869 +/- 0.138
1,DTW,UI,(b) Standardisation,0.9179999999999999,0.09651942809610922,0.918 +/- 0.097
1,DT,UI,(b) Standardisation,0.827,0.081,0.827 +/- 0.081
1,RF,UI,(b) Standardisation,0.9120000000000001,0.05509990925582363,0.912 +/- 0.055
1,LR,UI,(b) Standardisation,0.8699999999999999,0.092520268049763,0.870 +/- 0.093
1,$1,UI,(a) No preprocessing,0.992,0.010770329614269016,0.992 +/- 0.011
1,Edit Distance,UD,(b) Standardisation,0.9720000000000001,0.02227105745132008,0.972 +/- 0.022
1,DTW,UD,(b) Standardisation,0.9880000000000001,0.00979795897113272,0.988 +/- 0.010
1,DT,UD,(b) Standardisation,0.875,0.049040799340956925,0.875 +/- 0.049
1,RF,UD,(b) Standardisation,0.9560000000000001,0.03469870314579493,0.956 +/- 0.035
1,LR,UD,(b) Standardisation,0.9560000000000001,0.03693237062523876,0.956 +/- 0.037
1,$1,UD,(a) No preprocessing,0.999,0.0030000000000000022,0.999 +/- 0.003
4,Edit Distance,UI,(b) Standardisation,0.8370000000000001,0.09011659114724657,0.837 +/- 0.090
4,DTW,UI,(b) Standardisation,0.8649999999999999,0.07839005038906405,0.865 +/- 0.078
4,DT,UI,(b) Standardisation,0.8130000000000001,0.07170076708097341,0.813 +/- 0.072
4,RF,UI,(b) Standardisation,0.8640000000000001,0.08788629017087932,0.864 +/- 0.088
4,LR,UI,(a) No preprocessing,0.8510000000000002,0.1052093151769367,0.851 +/- 0.105
4,$1,UI,(a) No preprocessing,0.821,0.08549268974596598,0.821 +/- 0.085
4,Edit Distance,UD,(b) Standardisation,0.984,0.01685229954635273,0.984 +/- 0.017
4,DTW,UD,(b) Standardisation,0.9870000000000001,0.02002498439450077,0.987 +/- 0.020
4,DT,UD,(b) Standardisation,0.883,0.026095976701399803,0.883 +/- 0.026
4,RF,UD,(b) Standardisation,0.976,0.02059126028197402,0.976 +/- 0.021
4,LR,UD,(b) Standardisation,0.968,0.018330302779823355,0.968 +/- 0.018
4,$1,UD,(a) No preprocessing,0.9730000000000001,0.018466185312619378,0.973 +/- 0.018
